User_Type,Weight_Profile,Model,k,HitRate,NDCG,unSerendipity,Train_Scenario,trainable
all,None,e5,2,0.037914691943127965,0.028002852781539935,0.88502634,2,False
all,None,e5,4,0.045813586097946286,0.03162375274081352,0.884112,2,False
all,None,e5,6,0.05687203791469194,0.03575650596397661,0.8832875,2,False
all,None,e5,8,0.06951026856240126,0.039828108466233546,0.8826369,2,False
all,None,e5,10,0.08056872037914692,0.04306252256246956,0.8823767,2,False
all,None,e5,12,0.09162717219589257,0.04610594475186369,0.8819727,2,False
all,None,e5,14,0.10426540284360189,0.049361943517951014,0.88160586,2,False
all,None,e5,16,0.11690363349131122,0.05251305021955959,0.8812562,2,False
all,None,e5,18,0.1263823064770932,0.054751370967428985,0.8808133,2,False
all,None,e5,20,0.13270142180094788,0.05620761881604862,0.88045865,2,False
all,None,e5,30,0.15165876777251186,0.06024021427735273,0.87890893,2,False
all,None,e5,50,0.20063191153238547,0.06930142508273512,0.87655807,2,False
all,None,bge,2,0.04265402843601896,0.04032183098623354,0.7385844,2,False
all,None,bge,4,0.05845181674565561,0.047563630904780704,0.7362347,2,False
all,None,bge,6,0.06951026856240126,0.05179321073181905,0.7343986,2,False
all,None,bge,8,0.09004739336492891,0.05838486511476517,0.7329746,2,False
all,None,bge,10,0.10426540284360189,0.0625136938765457,0.73203164,2,False
all,None,bge,12,0.1263823064770932,0.0685317800308173,0.7311736,2,False
all,None,bge,14,0.1358609794628752,0.07096849355228059,0.7300552,2,False
all,None,bge,16,0.14691943127962084,0.07369930266519198,0.729003,2,False
all,None,bge,18,0.15639810426540285,0.07595849333344759,0.72810525,2,False
all,None,bge,20,0.16587677725118483,0.07813407846073059,0.7273346,2,False
all,None,bge,30,0.1895734597156398,0.08312631678487115,0.7232722,2,False
all,None,bge,50,0.2353870458135861,0.09174935883424827,0.7172661,2,False
all,None,openai,2,0.04739336492890995,0.04214592066689277,0.6653562,2,False
all,None,openai,4,0.061611374407582936,0.04892637828809368,0.6602975,2,False
all,None,openai,6,0.08372827804107424,0.05724029803635748,0.6575333,2,False
all,None,openai,8,0.10268562401263823,0.06336181589444083,0.65454996,2,False
all,None,openai,10,0.11532385466034756,0.06709069312655376,0.65261614,2,False
all,None,openai,12,0.12954186413902052,0.07098794834731381,0.6506017,2,False
all,None,openai,14,0.14375987361769352,0.07466944639501975,0.64889735,2,False
all,None,openai,16,0.1579778830963665,0.0781816939630942,0.6473007,2,False
all,None,openai,18,0.17535545023696683,0.08230731136126242,0.64588445,2,False
all,None,openai,20,0.18641390205371247,0.0848425651278771,0.6444531,2,False
all,None,openai,30,0.22748815165876776,0.09354612222616117,0.63866377,2,False
all,None,openai,50,0.29067930489731436,0.10538407860223063,0.6290346,2,False
all,None,gemini,2,0.05845181674565561,0.053787421846084774,0.8472062,2,False
all,None,gemini,4,0.09794628751974724,0.07200143734849788,0.84478265,2,False
all,None,gemini,6,0.11058451816745656,0.07655167923947846,0.8430738,2,False
all,None,gemini,8,0.12322274881516587,0.08067973816052719,0.84145015,2,False
all,None,gemini,10,0.12954186413902052,0.08254417677658364,0.84010696,2,False
all,None,gemini,12,0.14533965244865718,0.08686834851302667,0.8390678,2,False
all,None,gemini,14,0.15639810426540285,0.08974113242231296,0.83805627,2,False
all,None,gemini,16,0.16903633491311215,0.09288378816360277,0.8371588,2,False
all,None,gemini,18,0.1721958925750395,0.09363453283964507,0.83627534,2,False
all,None,gemini,20,0.18325434439178515,0.09616978660625974,0.83566076,2,False
all,None,gemini,30,0.2211690363349131,0.1042561036988282,0.8326516,2,False
all,None,gemini,50,0.2812006319115324,0.11559163074071716,0.8282351,2,False
all,None,harrier,2,0.04265402843601896,0.03915573226134083,0.78807044,2,False
all,None,harrier,4,0.05687203791469194,0.04571715847045136,0.78511345,2,False
all,None,harrier,6,0.07109004739336493,0.05097536884087518,0.78344035,2,False
all,None,harrier,8,0.09162717219589257,0.05756702322382129,0.78208,2,False
all,None,harrier,10,0.10426540284360189,0.06123919349220865,0.78096026,2,False
all,None,harrier,12,0.11690363349131122,0.06469578055238241,0.77998835,2,False
all,None,harrier,14,0.12480252764612954,0.06674927921704467,0.7790387,2,False
all,None,harrier,16,0.1406003159557662,0.07063956957222253,0.7780715,2,False
all,None,harrier,18,0.1579778830963665,0.07475823033026201,0.77713,2,False
all,None,harrier,20,0.1674565560821485,0.0769279576937807,0.7763508,2,False
all,None,harrier,30,0.20537124802527645,0.08496778494179537,0.77314156,2,False
all,None,harrier,50,0.26224328593996843,0.09573684315502279,0.76844555,2,False
all,None,qwen,2,0.04897314375987362,0.04605789694764185,0.6422335,2,False
all,None,qwen,4,0.07109004739336493,0.05700683305834231,0.6357874,2,False
all,None,qwen,6,0.08846761453396525,0.06353574048183974,0.63237906,2,False
all,None,qwen,8,0.11216429699842022,0.07118058075209498,0.6302028,2,False
all,None,qwen,10,0.13112164296998421,0.07679279892150621,0.6276279,2,False
all,None,qwen,12,0.1406003159557662,0.07940930459521735,0.6249845,2,False
all,None,qwen,14,0.1579778830963665,0.08393123009995607,0.62313956,2,False
all,None,qwen,16,0.17061611374407584,0.08706543488092715,0.62149554,2,False
all,None,qwen,18,0.18167456556082148,0.08969651956713953,0.6200877,2,False
all,None,qwen,20,0.1911532385466035,0.09187796245818683,0.61857086,2,False
all,None,qwen,30,0.21958925750394945,0.09792324364940373,0.6114903,2,False
all,None,qwen,50,0.2843601895734597,0.10998498896419727,0.6015483,2,False
warm,None,w2v,2,0.008298755186721992,0.006767343375815176,0.84062934,2,False
warm,None,w2v,4,0.01867219917012448,0.011666416230891496,0.8405605,2,False
warm,None,w2v,6,0.024896265560165973,0.014074213786293208,0.8398431,2,False
warm,None,w2v,8,0.024896265560165973,0.014074213786293208,0.83980197,2,False
warm,None,w2v,10,0.029045643153526972,0.015298476902438164,0.8395067,2,False
warm,None,w2v,12,0.03112033195020747,0.015859136973864138,0.83944553,2,False
warm,None,w2v,14,0.03112033195020747,0.015859136973864138,0.8392799,2,False
warm,None,w2v,16,0.03112033195020747,0.015859136973864138,0.8391156,2,False
warm,None,w2v,18,0.03319502074688797,0.016356673211557357,0.83898014,2,False
warm,None,w2v,20,0.035269709543568464,0.016836710998195864,0.83889556,2,False
warm,None,w2v,30,0.04564315352697095,0.019014351411411032,0.838279,2,False
warm,None,w2v,50,0.05394190871369295,0.020557290470939682,0.8375711,2,False
warm,None,bert,2,0.016597510373443983,0.015831804467990575,0.83489037,2,False
warm,None,bert,4,0.01867219917012448,0.016725324298018363,0.8348051,2,False
warm,None,bert,6,0.01867219917012448,0.016725324298018363,0.8347069,2,False
warm,None,bert,8,0.022821576763485476,0.018034307189245456,0.8346147,2,False
warm,None,bert,10,0.022821576763485476,0.018034307189245456,0.83454895,2,False
warm,None,bert,12,0.022821576763485476,0.018034307189245456,0.83451927,2,False
