User_Type,Weight_Profile,Model,k,HitRate,NDCG,unSerendipity,Train_Scenario,trainable
all,None,Base_SASRec,2,0.00315955766192733,0.0025765082994809755,0.37108684,1,True
all,None,Base_SASRec,4,0.00631911532385466,0.004156287130444641,0.36575893,1,True
all,None,Base_SASRec,6,0.01579778830963665,0.007823138383852618,0.3616135,1,True
all,None,Base_SASRec,8,0.023696682464454975,0.010399646683333593,0.35913062,1,True
all,None,Base_SASRec,10,0.02843601895734597,0.011826329127238718,0.35700276,1,True
all,None,Base_SASRec,12,0.0315955766192733,0.012680162158604659,0.35547373,1,True
all,None,Base_SASRec,14,0.04107424960505529,0.015127446786272347,0.35403395,1,True
all,None,Base_SASRec,16,0.04739336492890995,0.01668187273627974,0.35241553,1,True
all,None,Base_SASRec,18,0.04897314375987362,0.01705376675423651,0.35091758,1,True
all,None,Base_SASRec,20,0.05529225908372828,0.01849829907532754,0.34987926,1,True
all,None,Base_SASRec,30,0.07424960505529225,0.02255049151109446,0.3461719,1,True
all,None,Base_SASRec,50,0.11374407582938388,0.029876740448184464,0.34261468,1,True
warm,None,Base_SASRec,2,0.004149377593360996,0.003383671687907588,0.39274773,,True
warm,None,Base_SASRec,4,0.008298755186721992,0.0054583604845880864,0.38672748,,True
warm,None,Base_SASRec,6,0.02074688796680498,0.01027395559539151,0.38250467,,True
warm,None,Base_SASRec,8,0.03112033195020747,0.013657627283299098,0.37981465,,True
warm,None,Base_SASRec,10,0.03734439834024896,0.01553125796170562,0.37774533,,True
warm,None,Base_SASRec,12,0.04149377593360996,0.01665257810455757,0.37626052,,True
warm,None,Base_SASRec,14,0.05394190871369295,0.019866543186121157,0.37477958,,True
warm,None,Base_SASRec,16,0.06224066390041494,0.021907936601794763,0.37285736,,True
warm,None,Base_SASRec,18,0.06431535269709543,0.022396336836995254,0.37113473,,True
warm,None,Base_SASRec,20,0.07261410788381743,0.024293409366560853,0.37015215,,True
warm,None,Base_SASRec,30,0.0975103734439834,0.029615064577848117,0.3660607,,True
warm,None,Base_SASRec,50,0.14937759336099585,0.03923646619025055,0.36229676,,True
cold,None,Base_SASRec,2,0.0,0.0,0.30194405,,True
cold,None,Base_SASRec,4,0.0,0.0,0.2988261,,True
cold,None,Base_SASRec,6,0.0,0.0,0.29492784,,True
cold,None,Base_SASRec,8,0.0,0.0,0.29310608,,True
cold,None,Base_SASRec,10,0.0,0.0,0.2907913,,True
cold,None,Base_SASRec,12,0.0,0.0,0.289121,,True
cold,None,Base_SASRec,14,0.0,0.0,0.28781274,,True
cold,None,Base_SASRec,16,0.0,0.0,0.28716394,,True
cold,None,Base_SASRec,18,0.0,0.0,0.2863834,,True
cold,None,Base_SASRec,20,0.0,0.0,0.2851673,,True
cold,None,Base_SASRec,30,0.0,0.0,0.2826857,,True
cold,None,Base_SASRec,50,0.0,0.0,0.27978837,,True
all,None,w2v,2,0.030015797788309637,0.025351402888738803,0.71729827,2,True
all,None,w2v,4,0.037914691943127965,0.028972302848012384,0.7185974,2,True
all,None,w2v,6,0.044233807266982623,0.03141687035028437,0.7189309,2,True
all,None,w2v,8,0.06003159557661927,0.036456974111662724,0.719843,2,True
all,None,w2v,10,0.07109004739336493,0.03978589981410801,0.7206472,2,True
all,None,w2v,12,0.07582938388625593,0.041094152650963583,0.72041327,2,True
all,None,w2v,14,0.08372827804107424,0.04315822242183024,0.72162396,2,True
all,None,w2v,16,0.0947867298578199,0.045914384415697895,0.72223246,2,True
all,None,w2v,18,0.09794628751974724,0.046665129091740185,0.7230879,2,True
all,None,w2v,20,0.10426540284360189,0.048109661412831205,0.72366995,2,True
all,None,w2v,30,0.1358609794628752,0.05481047340381185,0.7258667,2,True
all,None,w2v,50,0.18009478672985782,0.06308173174522216,0.72672987,2,True
all,None,bert,2,0.009478672985781991,0.008895623623335637,0.8280601,2,True
all,None,bert,4,0.017377567140600316,0.012845070700744799,0.8278771,2,True
all,None,bert,6,0.023696682464454975,0.015289638203016783,0.8278167,2,True
all,None,bert,8,0.02527646129541864,0.01581623114667134,0.8274859,2,True
all,None,bert,10,0.03475513428120063,0.018612889070756027,0.827241,2,True
all,None,bert,12,0.03949447077409163,0.019921141907611604,0.8270116,2,True
all,None,bert,14,0.044233807266982623,0.021165926433854225,0.826887,2,True
all,None,bert,16,0.045813586097946286,0.021560871141595144,0.8269363,2,True
all,None,bert,18,0.05055292259083728,0.022683509835594206,0.8267749,2,True
all,None,bert,20,0.05845181674565561,0.024493568559781215,0.8266244,2,True
all,None,bert,30,0.08214849921011058,0.0295160045671255,0.8260534,2,True
all,None,bert,50,0.10110584518167456,0.03306860918560252,0.8249587,2,True
all,None,minilm,2,0.011058451816745656,0.009309303729406592,0.82628477,2,True
all,None,minilm,4,0.018957345971563982,0.013258750806815756,0.8262247,2,True
all,None,minilm,6,0.026856240126382307,0.016169220278842846,0.8260492,2,True
all,None,minilm,8,0.02843601895734597,0.0166675850131015,0.8260186,2,True
all,None,minilm,10,0.03475513428120063,0.018532023629157963,0.82593834,2,True
all,None,minilm,12,0.037914691943127965,0.019399608305427234,0.82577944,2,True
all,None,minilm,14,0.03949447077409163,0.01981453648084144,0.8256865,2,True
all,None,minilm,16,0.03949447077409163,0.01981453648084144,0.8256215,2,True
all,None,minilm,18,0.03949447077409163,0.01981453648084144,0.8255284,2,True
all,None,minilm,20,0.044233807266982623,0.0209111156901294,0.8254346,2,True
all,None,minilm,30,0.0631911532385466,0.024887127183043492,0.8253576,2,True
all,None,minilm,50,0.08846761453396525,0.029660076227281996,0.82513505,2,True
all,None,e5,2,0.009478672985781991,0.008312574260889282,0.8405975,2,True
all,None,e5,4,0.014218009478672985,0.010463211095244394,0.8403867,2,True
all,None,e5,6,0.020537124802527645,0.012810951993641118,0.84005463,2,True
all,None,e5,8,0.026856240126382307,0.01488909555886344,0.83970124,2,True
all,None,e5,10,0.030015797788309637,0.01580241254564982,0.83956945,2,True
all,None,e5,12,0.0315955766192733,0.01624308070623612,0.8393977,2,True
all,None,e5,14,0.03949447077409163,0.018307150477102768,0.8392579,2,True
all,None,e5,16,0.04739336492890995,0.02027342305548859,0.839109,2,True
all,None,e5,18,0.052132701421800945,0.021396061749487657,0.83893836,2,True
all,None,e5,20,0.05687203791469194,0.022486783195011305,0.8386892,2,True
all,None,e5,30,0.07424960505529225,0.02616802806451326,0.83801097,2,True
all,None,e5,50,0.11374407582938388,0.033574797651965166,0.8369137,2,True
all,None,bge,2,0.01263823064770932,0.010889082560370258,0.8486174,2,True
all,None,bge,4,0.022116903633491312,0.015299871935125673,0.8483748,2,True
all,None,bge,6,0.02843601895734597,0.0176476128335224,0.8484175,2,True
all,None,bge,8,0.036334913112164295,0.020195892923607475,0.8483638,2,True
all,None,bge,10,0.036334913112164295,0.020195892923607475,0.8482362,2,True
