User_Type,Weight_Profile,Model,k,HitRate,NDCG,unSerendipity,Train_Scenario,trainable
all,None,e5,2,0.09320695102685624,0.0821290131403755,0.69496924,2,True
all,None,e5,4,0.1358609794628752,0.1017037760616619,0.69061226,2,True
all,None,e5,6,0.1579778830963665,0.10996928250798806,0.6882275,2,True
all,None,e5,8,0.1721958925750395,0.11451102153510774,0.6868239,2,True
all,None,e5,10,0.1848341232227488,0.11822099644597882,0.6856452,2,True
all,None,e5,12,0.19273301737756715,0.12036933066929702,0.6843639,2,True
all,None,e5,14,0.21011058451816747,0.12491239838644452,0.68298,2,True
all,None,e5,16,0.21800947867298578,0.1268702200045116,0.6823989,2,True
all,None,e5,18,0.22274881516587677,0.1280067719787681,0.68139714,2,True
all,None,e5,20,0.22748815165876776,0.12909163566052748,0.68065983,2,True
all,None,e5,30,0.27488151658767773,0.13913900574222568,0.6772457,2,True
all,None,e5,50,0.3222748815165877,0.1480853913369052,0.67238134,2,True
all,None,bge,2,0.10900473933649289,0.09267935718799497,0.67467594,2,True
all,None,bge,4,0.1500789889415482,0.11212132493007068,0.6649234,2,True
all,None,bge,6,0.16903633491311215,0.11911613432332326,0.65991855,2,True
all,None,bge,8,0.18641390205371247,0.12471105923775205,0.6554773,2,True
all,None,bge,10,0.19747235387045814,0.12796437565522992,0.65205055,2,True
all,None,bge,12,0.21011058451816747,0.13140721107050032,0.64993685,2,True
all,None,bge,14,0.2259083728278041,0.13549306618741608,0.6476404,2,True
all,None,bge,16,0.24170616113744076,0.13941716038386898,0.645383,2,True
all,None,bge,18,0.2527646129541864,0.14204824507008135,0.64387536,2,True
all,None,bge,20,0.26224328593996843,0.14421797243360004,0.6421974,2,True
all,None,bge,30,0.29067930489731436,0.15030624341305432,0.6355227,2,True
all,None,bge,50,0.34913112164297,0.16109155935949532,0.62653697,2,True
all,None,openai,2,0.11374407582938388,0.10441528603024222,0.63617766,2,True
all,None,openai,4,0.14691943127962084,0.12012683810699917,0.6242449,2,True
all,None,openai,6,0.16429699842022116,0.12670415883243424,0.6171173,2,True
all,None,openai,8,0.18009478672985782,0.13180071901260437,0.6112602,2,True
all,None,openai,10,0.19273301737756715,0.1355295962447173,0.6064245,2,True
all,None,openai,12,0.21169036334913113,0.14076260759213963,0.6024527,2,True
all,None,openai,14,0.22906793048973143,0.14525281977826515,0.59922457,2,True
all,None,openai,16,0.23854660347551343,0.14761403706439188,0.59627,2,True
all,None,openai,18,0.25118483412322273,0.15061701576856107,0.59354204,2,True
all,None,openai,20,0.26066350710900477,0.15278674313207974,0.59107745,2,True
all,None,openai,30,0.2938388625592417,0.15988530890346658,0.58097374,2,True
all,None,openai,50,0.33175355450236965,0.1669341171234291,0.5669856,2,True
all,None,gemini,2,0.10900473933649289,0.09676070272511945,0.7379816,2,True
all,None,gemini,4,0.1406003159557662,0.11179188109243975,0.7317986,2,True
all,None,gemini,6,0.17377567140600317,0.12404490085611611,0.72748506,2,True
all,None,gemini,8,0.1911532385466035,0.12963982577054492,0.7247564,2,True
all,None,gemini,10,0.20221169036334913,0.1328931421880228,0.722859,2,True
all,None,gemini,12,0.21484992101105846,0.13633597760329325,0.7204677,2,True
all,None,gemini,14,0.23380726698262244,0.141241117964833,0.7188283,2,True
