Model,Hidden_Dim,Layers,Heads,LR,Trainable,k,HitRate,NDCG,unSerendipity
word2vec,256,1,2,1e-05,False,10,0.03475513428120063,0.028027297500064198,0.6230597
word2vec,256,1,2,1e-05,False,20,0.04107424960505529,0.029619649828847332,0.6213198
bert_multi,256,1,2,1e-05,True,10,0.052132701421800945,0.02881489125009885,0.8605784
bert_multi,256,1,2,1e-05,True,20,0.08056872037914692,0.03593698193298962,0.8597146
bert_multi,256,1,2,1e-05,False,10,0.01579778830963665,0.008896760073518141,0.8393533
bert_multi,256,1,2,1e-05,False,20,0.022116903633491312,0.010497483773305243,0.84298944
qwen,256,1,2,1e-05,True,10,0.052132701421800945,0.03325379098616372,0.85676044
qwen,256,1,2,1e-05,True,20,0.07109004739336493,0.038069652380220316,0.85626394
qwen,256,1,2,1e-05,False,10,0.03949447077409163,0.031025723270904883,0.42528728
qwen,256,1,2,1e-05,False,20,0.04897314375987362,0.03350503611057714,0.4260011
word2vec,256,1,3,0.0001,True,10,0.08846761453396525,0.048482890221082715,0.7268377
word2vec,256,1,3,0.0001,True,20,0.13744075829383887,0.06081683867461897,0.7295268
word2vec,256,1,3,0.0001,False,10,0.03317535545023697,0.02012762358473922,0.7660596
word2vec,256,1,3,0.0001,False,20,0.044233807266982623,0.022861670942602254,0.76338184
bert_multi,256,1,3,0.0001,True,10,0.04897314375987362,0.027139336079217355,0.8442026
bert_multi,256,1,3,0.0001,True,20,0.07109004739336493,0.032553532520952284,0.8428712
bert_multi,256,1,3,0.0001,False,10,0.011058451816745656,0.008461622728448692,0.817879
bert_multi,256,1,3,0.0001,False,20,0.020537124802527645,0.010912067782717404,0.8213384
qwen,256,1,3,0.0001,True,10,0.03949447077409163,0.02347979215757013,0.85257745
qwen,256,1,3,0.0001,True,20,0.0679304897314376,0.030489263687207797,0.8524325
qwen,256,1,3,0.0001,False,10,0.03475513428120063,0.029328657009590375,0.350755
qwen,256,1,3,0.0001,False,20,0.03949447077409163,0.030539208642482486,0.349374
word2vec,256,1,3,1e-05,True,10,0.045813586097946286,0.02148596918083312,0.86607915
word2vec,256,1,3,1e-05,True,20,0.0631911532385466,0.025848676863225974,0.86256814
word2vec,256,1,3,1e-05,False,10,0.02527646129541864,0.01656094801274586,0.78306276
word2vec,256,1,3,1e-05,False,20,0.037914691943127965,0.019780921088100218,0.78896177
bert_multi,256,1,3,1e-05,True,10,0.05055292259083728,0.030467472612170313,0.8595572
bert_multi,256,1,3,1e-05,True,20,0.07582938388625593,0.036753226201815745,0.85870755
bert_multi,256,1,3,1e-05,False,10,0.01263823064770932,0.007505169519281864,0.77815926
bert_multi,256,1,3,1e-05,False,20,0.020537124802527645,0.009437871447993521,0.77791464
qwen,256,1,3,1e-05,True,10,0.053712480252764615,0.0356817379363572,0.86533946
qwen,256,1,3,1e-05,True,20,0.07109004739336493,0.04001664478609816,0.86496633
qwen,256,1,3,1e-05,False,10,0.04897314375987362,0.0376200827938398,0.3720465
qwen,256,1,3,1e-05,False,20,0.05529225908372828,0.03921127041038976,0.37476522
word2vec,256,2,1,0.0001,True,10,0.08530805687203792,0.04566417819686753,0.7229024
word2vec,256,2,1,0.0001,True,20,0.12954186413902052,0.05683074319976555,0.72639513
word2vec,256,2,1,0.0001,False,10,0.0315955766192733,0.017746644062447078,0.6555465
word2vec,256,2,1,0.0001,False,20,0.036334913112164295,0.018963563310199976,0.65075976
bert_multi,256,2,1,0.0001,True,10,0.04265402843601896,0.022859734934958464,0.83543766
bert_multi,256,2,1,0.0001,True,20,0.0631911532385466,0.028111976807046274,0.83485085
bert_multi,256,2,1,0.0001,False,10,0.00315955766192733,0.001206966653091195,0.781039
bert_multi,256,2,1,0.0001,False,20,0.007898894154818325,0.0024129792191851717,0.7818203
qwen,256,2,1,0.0001,True,10,0.04107424960505529,0.018749551930825944,0.84760815
qwen,256,2,1,0.0001,True,20,0.06003159557661927,0.02355062068951427,0.8470342
qwen,256,2,1,0.0001,False,10,0.036334913112164295,0.02724857694042643,0.36318058
qwen,256,2,1,0.0001,False,20,0.044233807266982623,0.02919790693002983,0.3651743
word2vec,256,2,1,1e-05,True,10,0.05055292259083728,0.023902764497072144,0.8776111
word2vec,256,2,1,1e-05,True,20,0.07740916271721959,0.030541585919587593,0.87596035
word2vec,256,2,1,1e-05,False,10,0.02527646129541864,0.019421776189262822,0.69084394
word2vec,256,2,1,1e-05,False,20,0.03317535545023697,0.021334595896566694,0.7011581
bert_multi,256,2,1,1e-05,True,10,0.04265402843601896,0.021680957165786538,0.8489647
bert_multi,256,2,1,1e-05,True,20,0.06477093206951026,0.027377553785425196,0.8479457
bert_multi,256,2,1,1e-05,False,10,0.009478672985781991,0.003401239059697892,0.7908271
bert_multi,256,2,1,1e-05,False,20,0.018957345971563982,0.005810160169347334,0.7914196
qwen,256,2,1,1e-05,True,10,0.037914691943127965,0.02014599724477047,0.84764004
qwen,256,2,1,1e-05,True,20,0.05687203791469194,0.02494653454656787,0.8472841
qwen,256,2,1,1e-05,False,10,0.026856240126382307,0.017060846063238152,0.352405
qwen,256,2,1,1e-05,False,20,0.03475513428120063,0.018982841093654595,0.35245842
word2vec,256,2,2,0.0001,True,10,0.09320695102685624,0.05362749775523493,0.7303089
word2vec,256,2,2,0.0001,True,20,0.14691943127962084,0.0674096504317098,0.7327355
word2vec,256,2,2,0.0001,False,10,0.0315955766192733,0.02445732116733006,0.6017258
word2vec,256,2,2,0.0001,False,20,0.03949447077409163,0.02636145287595884,0.59782743
bert_multi,256,2,2,0.0001,True,10,0.045813586097946286,0.02460571224132563,0.8372584
bert_multi,256,2,2,0.0001,True,20,0.0631911532385466,0.029051701981354122,0.8365202
bert_multi,256,2,2,0.0001,False,10,0.001579778830963665,0.000526592943654555,0.7764779
bert_multi,256,2,2,0.0001,False,20,0.00315955766192733,0.0009309500128643741,0.77793366
qwen,256,2,2,0.0001,True,10,0.04107424960505529,0.02445465690878481,0.8468276
qwen,256,2,2,0.0001,True,20,0.06635071090047394,0.030929944802299086,0.8463956
qwen,256,2,2,0.0001,False,10,0.02843601895734597,0.024770415491146586,0.29806936
qwen,256,2,2,0.0001,False,20,0.030015797788309637,0.02518534366656079,0.2973657
word2vec,256,2,2,1e-05,True,10,0.04897314375987362,0.023663039751163722,0.8768054
word2vec,256,2,2,1e-05,True,20,0.07740916271721959,0.03066971789170996,0.875561
word2vec,256,2,2,1e-05,False,10,0.02843601895734597,0.01720588870859941,0.63350654
word2vec,256,2,2,1e-05,False,20,0.04739336492890995,0.021953068938800266,0.63643557
bert_multi,256,2,2,1e-05,True,10,0.03317535545023697,0.017730857422304395,0.8450211
bert_multi,256,2,2,1e-05,True,20,0.06003159557661927,0.02454829445084422,0.84436476
bert_multi,256,2,2,1e-05,False,10,0.01263823064770932,0.007012128752093887,0.83882344
bert_multi,256,2,2,1e-05,False,20,0.022116903633491312,0.009342392745240772,0.83879614
qwen,256,2,2,1e-05,True,10,0.037914691943127965,0.020729617038968706,0.84169763
qwen,256,2,2,1e-05,True,20,0.045813586097946286,0.022647073002587014,0.8414382
qwen,256,2,2,1e-05,False,10,0.026856240126382307,0.02371129694610705,0.31824407
qwen,256,2,2,1e-05,False,20,0.037914691943127965,0.026510089230897965,0.319672
word2vec,256,2,3,0.0001,True,10,0.09004739336492891,0.046349829874959086,0.7266499
word2vec,256,2,3,0.0001,True,20,0.14218009478672985,0.059373693573314616,0.7302936
word2vec,256,2,3,0.0001,False,10,0.030015797788309637,0.02415123049872442,0.65229785
word2vec,256,2,3,0.0001,False,20,0.036334913112164295,0.02569978263152743,0.65622586
bert_multi,256,2,3,0.0001,True,10,0.03949447077409163,0.01921014055835349,0.8349137
bert_multi,256,2,3,0.0001,True,20,0.053712480252764615,0.02278298726826493,0.83397186
bert_multi,256,2,3,0.0001,False,10,0.014218009478672985,0.008251325535664348,0.8163082
bert_multi,256,2,3,0.0001,False,20,0.022116903633491312,0.010306908935815477,0.82027876
qwen,256,2,3,0.0001,True,10,0.026856240126382307,0.01555714182348955,0.84897846
qwen,256,2,3,0.0001,True,20,0.05687203791469194,0.022951140782666204,0.84839183
qwen,256,2,3,0.0001,False,10,0.030015797788309637,0.019399802969480125,0.34414175
qwen,256,2,3,0.0001,False,20,0.03949447077409163,0.02182189664938012,0.3422707
word2vec,256,2,3,1e-05,True,10,0.05055292259083728,0.024224210259830913,0.87588227
